,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane,resolution_outcome
0,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1002240024,MANHATTAN,,,,NEW YORK,2019-04-22T00:00:00.000,01 MANHATTAN,Rodent,2019-03-11T00:00:00.000,GREENWICH STREET,WASHINGTON STREET,Rat Sighting,2019-04-10T09:15:22.000,N/A,135 WATTS STREET,10013,,,40.7241169184207,"{'type': 'Point', 'coordinates': [-74.009769806281, 40.724116918421]}",Other (Explain Below),-74.00976980628137,ONLINE,MANHATTAN,Unspecified,2019-03-11T09:18:36.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WATTS STREET,,,41935505,981542,203092,0
1,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1002240024,MANHATTAN,,,,NEW YORK,2019-04-22T00:00:00.000,01 MANHATTAN,Rodent,2019-03-11T00:00:00.000,GREENWICH STREET,WASHINGTON STREET,Rat Sighting,2019-04-10T11:24:46.000,N/A,135 WATTS STREET,10013,,,40.7241169184207,"{'type': 'Point', 'coordinates': [-74.009769806281, 40.724116918421]}",3+ Family Mixed Use Building,-74.00976980628137,ONLINE,MANHATTAN,Unspecified,2019-03-11T11:28:43.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WATTS STREET,,,41929434,981542,203092,0
2,LATLONG,DOHMH,Department of Health and Mental Hygiene,,QUEENS,,,,ELMHURST,2019-04-01T00:00:00.000,Unspecified QUEENS,Rodent,2019-03-11T00:00:00.000,,,Rat Sighting,2019-04-10T22:17:29.000,N/A,94-66 45 AVENUE,11373,,,40.74436156048827,"{'type': 'Point', 'coordinates': [-73.868399502552, 40.744361560488]}",3+ Family Apt. Building,-73.86839950255195,MOBILE,QUEENS,Unspecified,2019-04-01T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,45 AVENUE,,,41932348,1020716,210495,0
3,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1020360061,MANHATTAN,,,,NEW YORK,2019-04-03T00:00:00.000,10 MANHATTAN,Rodent,2019-03-11T00:00:00.000,WEST 150 STREET,WEST 151 STREET,Rat Sighting,2019-04-10T20:07:29.000,N/A,2844 FREDRICK DOUGLASS BOULEVARD,10039,,,40.826419661357285,"{'type': 'Point', 'coordinates': [-73.939289263782, 40.826419661357]}",3+ Family Apt. Building,-73.9392892637817,PHONE,MANHATTAN,Unspecified,2019-04-03T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,FREDRICK DOUGLASS BOULEVARD,,,41929359,1001052,240370,0
4,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1005260025,MANHATTAN,,,,NEW YORK,2019-03-11T00:00:01.000,02 MANHATTAN,Food Poisoning,2019-03-11T00:00:00.000,WEST HOUSTON STREET,BLEECKER STREET,1 or 2,2019-03-25T12:24:41.000,N/A,87 MACDOUGAL STREET,10012,,,40.72896456502055,"{'type': 'Point', 'coordinates': [-74.001374655453, 40.728964565021]}",Restaurant/Bar/Deli/Bakery,-74.0013746554526,ONLINE,MANHATTAN,Unspecified,2019-03-29T11:11:03.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,MACDOUGAL STREET,,,41936077,983869,204858,1
5,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3042710005,BROOKLYN,,,,BROOKLYN,2019-03-25T12:45:41.000,05 BROOKLYN,Rodent,2019-03-11T00:00:00.000,SUTTER AVENUE,BLAKE AVENUE,Mouse Sighting,2019-04-10T12:24:04.000,N/A,675 LINCOLN AVENUE,11208,,,40.67267423805446,"{'type': 'Point', 'coordinates': [-73.866435646459, 40.672674238054]}",3+ Family Mixed Use Building,-73.8664356464594,PHONE,BROOKLYN,Unspecified,2019-03-25T12:45:41.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,LINCOLN AVENUE,,,41934014,1021300,184378,0
6,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3009870051,BROOKLYN,,,,BROOKLYN,2019-03-27T00:00:00.000,06 BROOKLYN,Rodent,2019-03-11T00:00:00.000,4 AVENUE,5 AVENUE,Rat Sighting,2019-04-10T11:04:05.000,N/A,315 6 STREET,11215,,,40.67135376546352,"{'type': 'Point', 'coordinates': [-73.985522709345, 40.671353765464]}",Construction Site,-73.9855227093447,ONLINE,BROOKLYN,Unspecified,2019-03-27T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,6 STREET,,,41932375,988266,183869,0
7,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4088610090,QUEENS,,,,Woodhaven,2019-03-12T00:00:01.000,09 QUEENS,Food Poisoning,2019-03-11T00:00:00.000,86 STREET,87 STREET,1 or 2,2019-03-25T15:48:48.000,N/A,86-05 JAMAICA AVENUE,11421,,,40.69259125428286,"{'type': 'Point', 'coordinates': [-73.858036911333, 40.692591254283]}",Restaurant/Bar/Deli/Bakery,-73.85803691133316,PHONE,QUEENS,Unspecified,2019-03-29T11:13:39.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,JAMAICA AVENUE,,,41932274,1023618,191638,1
8,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4015350095,QUEENS,,,,Elmhurst,2019-03-11T00:00:01.000,04 QUEENS,Food Poisoning,2019-03-11T00:00:00.000,45 AVENUE,WHITNEY AVENUE,1 or 2,2019-03-25T09:25:27.000,N/A,82-80 BROADWAY,11373,,,40.74150105991051,"{'type': 'Point', 'coordinates': [-73.88056287025, 40.741501059911]}",Restaurant/Bar/Deli/Bakery,-73.88056287024965,ONLINE,QUEENS,Unspecified,2019-03-29T11:01:21.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,BROADWAY,,,41931786,1017347,209448,1
9,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-03-28T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-03-11T00:00:00.000,,,Rat Sighting,2019-04-10T20:00:54.000,N/A,429 KENT AVENUE,11249,,,40.70950795200782,"{'type': 'Point', 'coordinates': [-73.967771754251, 40.709507952008]}",3+ Family Apt. Building,-73.96777175425125,MOBILE,BROOKLYN,Unspecified,2019-03-28T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,KENT AVENUE,,,41927152,993185,197771,0
